approve_department,approve_number,approve_date,project_name,project_id,project_type,project_company,approve_result,approve_item
阿图什市发展和改革委员会,阿发改字【2018】15号,"            				2018-02-14
            		",阿图什市上阿图什镇沙也等4所 小学运动场建设项目,"
                2018-653001-82-01-001170
                ","
                审批
                ","
                阿图什市教育局
                ",通过,县（市、区）政府出资建设的项目可行性研究报告审批（党政机关及事业单位办公楼建设项目除外）
新市区发展和改革委员会,18101508710010,"            				2018-02-28
            		",一带一路国际文化产业园,"
                2018-650104-87-03-001177
                ","
                备案
                ","
                新疆秦汉唐文化产业有限公司
                ",通过,县（市、区）属内资项目备案
巴里坤县发展和改革委员会,"暂无文号
            			","
            				2018-02-26
            		",巴里坤县教育系统2018年乡镇学校学生宿舍、浴室建设项目,"
                2018-652222-82-01-001184
                ","
                审批
                ","
                巴里坤哈萨克自治县教育局
                ",不通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
伊吾县发展和改革委员会,伊发改产业备（2018）2号,"            				2018-02-14
            		",伊吾广汇矿业有限公司白石湖煤矿铁路快装系统项目,"
                2018-652223-06-03-001182
                ","
                备案
                ","
                伊吾广汇矿业有限公司
                ",通过,县（市、区）属内资项目备案
"沙雅县规划部门,沙雅县地震局","gjh,122","            				2016-02-15
            		,            				2016-02-15
            		",沙雅县人行道建设项目,"
                2016-652924-48-01-151332
                ","
                审批
                ","
                沙雅县住房和城乡建设局
                ","通过,通过","核发建设项目选址意见书（仅指以划拨方式提供国有土地使用权的建设项目）,建设工程抗震设防要求的审核"
自治区发展和改革委员会,新发改项目[2016]135号,"            				2016-02-18
            		",博乐市小营盘中学综合教学楼项目,"
                2016-652701-82-01-161330
                ","
                审批
                ","
                博乐市小营盘镇中学综合教学楼项目
                ",通过,自治区预算内投资项目初步设计审批
温泉县发展和改革委员会,"暂无文号
            			","
            				2016-02-19
            		",温泉县粮食局查干屯格粮站粮食仓储设施建设,"
                2016-652723-01-01-181252
                ","
                审批
                ","
                温泉县发展和改革委员会
                ",不通过,县（市、区）属内资项目备案
"新源县发展和改革委员会,新源县发展和改革委员会","暂无文号
            			,暂无文号
            			","
            				2018-03-07
            		,
            				2018-03-07
            		",新源县“两所一中心”双回路供电工程,"
                2018-654025-44-02-001222
                ","
                核准
                ","
                国网新疆电力公司新源县供电公司
                ","不通过,不通过","县（市、区）属城市基础设施（除垃圾发电外）项目核准,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）"
博湖县发展和改革委员会,博发改备案[2018]1号,"            				2018-02-13
            		",博湖县乌兰再格森乡民俗村建设项目—烧烤广场一期,"
                2018-652829-48-03-001258
                ","
                备案
                ","
                博湖县吉顺工程建设有限公司
                ",通过,县（市、区）属内资项目备案
轮台县发展和改革委员会,轮发改发〔2018〕17号,"            				2018-02-22
            		",新疆轮台县年产100万吨改性沥青项目,"
                2018-652822-25-03-001259
                ","
                备案
                ","
                新疆龙泰石油化工有限公司
                ",通过,县（市、区）属内资项目备案
